"Buybox Checkout Token does not exist.","Le Token Buybox n'existe pas."
"Buybox Gift Card", "Buybox Gift Card"
"Buybox gateway has rejected request. %s","La passerelle Buybox a rejeté la requête. %s"
"Checkout Settings","Paramètres de paiement"
"Discount","Réduction"
"Discount Tax","Taxe sur Réduction"
"Display action button", "Afficher le bouton ""Offrez une e-carte cadeau"""
"Enable Buybox checkout", "Activer Gift Card comme moyen de paiement"
"Example: Use your gift card", "Exemple : Utilisez votre carte cadeau"
"Example: lapomme.buybox.net", "Exemple : lapomme.buybox.net"
"FrontEnd Experience Settings","Paramètres FrontEnd"
"Give a gift card", "Offrez une e-carte cadeau"
"Javascript API key","Clef API Javascript"
"Last Correlation ID", "Last Correlation ID"
"Last Transaction ID", "Last Transaction ID"
"Modal popup","Popup modale"
"No", "Non"
"None", "Aucun"
"Payer Email", "Payer Email"
"Payer ID", "Payer ID"
"Payment API password", "Mot de passe API paiement"
"Payment API signature", "Signature API paiement"
"Payment API username", "Utilisateur API paiement"
"Payment action","Action de paiement"
"Payment sort order","Ordre de tri de la méthode de paiement"
"Payment title at checkout page","Titre de la méthode de paiement lors de la commande"
"Sale", "Sale"
"Sandbox mode", "Mode test"
"Service domain","Domaine du service"
"Shipping", "Transport"
"Unable to calculate cart line item totals.","Impossible de calculer les lignes du panie."
"Unable to cancel Checkout.","Impossible d'annuler le processus de commande."
"Unable to communicate with the Buybox gateway.","Impossible de communiquer avec la passerelle Buybox."
"Unable to initialize Buybox Checkout.","Impossible d'initialiser le processus de commande Buybox."
"Unable to process Buybox return.","Impossible de prendre en compte le retour de Buybox."
"Unable to start Buybox Checkout.","Impossible de démarrer le processus de commande Buybox."
"Upload your customized image of this button","Uploadez votre image personnalisée du bouton"
"User action","Action utilisateur"
"Wrong Buybox Checkout Token specified.","Le Token spécifié est invalide."
"Yes", "Oui"
"client_id", "client_id"
"commit", "commit"
"continue", "continue"
